Article,Topic,Date,Party,Changes from Previous Version,,,
Prohibition Against Discrimination and Harassment,Non-Discrimination,4/11/2025,Union,"Changed: University shall provide equal opportunity and shall not discriminate regarding appointment, reappointment, terms, or other matters covered by Agreement; expanded to 20 specific categories including caste (defined as South Asian rigid social stratification system), native language/dialect, familial status, arrest record, political affiliation, union affiliation/activities; added state/local law protections; failing to provide reasonable accommodation is discrimination (was: University's general commitment)",,,
Prohibition Against Discrimination and Harassment,Reasonable Accommodations,10/11/2024,University,"Initial proposal: University provides reasonable accommodations to employees with disability, consistent with state/federal law and University policy; provides accommodations for pregnancy/pregnancy-related conditions per state/federal law and policy",,,
Prohibition Against Discrimination and Harassment,Reasonable Accommodations,4/11/2025,Union,Changed: Incorporated into definition of discrimination - failing to provide reasonable accommodation is discrimination (was: separate accommodation statement),,,
Prohibition Against Discrimination and Harassment,Sexual Harassment,8/26/2024,Union,"Initial proposal: University committed to safe/healthy environment where no member excluded, denied benefits, or subjected to discrimination/harassment based on sex, sexual orientation, gender identity/expression; sexual harassment as unwelcome sexual behavior including advances, requests, verbal/nonverbal/graphic/physical conduct satisfying (1) quid pro quo (occurs when offered regardless of acceptance/damage/intent), (2) denies equal access, or (3) sexual assault, dating/domestic violence, stalking",,,
Prohibition Against Discrimination and Harassment,Sexual Harassment,10/11/2024,University,Changed: University prohibits sexual harassment including quid pro quo and hostile work environment per MA/federal/local law or University policy (was: Union's detailed definition),,,
Prohibition Against Discrimination and Harassment,Sexual Harassment,4/11/2025,Union,"Changed: University committed to safe/healthy environment where no member excluded, denied benefits, or subjected to discrimination/harassment based on sex, sexual orientation, gender identity/expression; defined sexual harassment as unwelcome sexual behavior including advances, requests for favors, other verbal/nonverbal/graphic/physical conduct that (1) conditions aid/benefit/services on participation (quid pro quo occurs when offered regardless of acceptance/damage/intent), (2) denies equal access to education/work programs, or (3) sexual assault, dating/domestic violence, stalking (was: general prohibition)",,,
Prohibition Against Discrimination and Harassment,Abusive Behavior,8/26/2024,Union,"Initial proposal: Neither University nor Union tolerates bullying against GSW in employment including from power-based harassment; bullying is repeated health-harming mistreatment contrary to University values (honesty, integrity, respect, professionalism); unwelcome actions (physical, verbal, non-verbal, electronic, written) may constitute bullying or hostile environment including 8 specific behaviors - slandering family, persistent hurtful name-calling/deadnaming, harmful jokes/pranks targeting individual, abusive remarks, public humiliation/reprimands, unreasonable exclusion from work activities, constant criticism on unrelated matters, not allowing person to speak/interrupting",,,
Prohibition Against Discrimination and Harassment,Abusive Behavior,10/11/2024,University,Changed: University and Union shall not tolerate abusive behavior by GSWs or supervisors (was: Union's detailed bullying definition with 8 specific behaviors),,,
Prohibition Against Discrimination and Harassment,Abusive Behavior,4/11/2025,Union,"Changed: Renamed 'Bullying Protections' - University and Union shall not tolerate bullying against GSW in course of employment, including bullying from power-based harassment; bullying defined as repeated health-harming mistreatment; contrary to University values of honesty, integrity, respect, professionalism; detailed 7-point list of unwelcome actions constituting bullying (slandering, persistent name-calling, harmful jokes/pranks, abusive remarks, public humiliation, unreasonable exclusion, constant unrelated criticism, not allowing person to speak) (was: general abusive behavior prohibition)",,,
Prohibition Against Discrimination and Harassment,Gender Identity,8/26/2024,Union,"Initial proposal: University and Union committed to support transgender, nonbinary, gender non-conforming members navigating policies during gender transition; upon request update employment and student records for name/gender including pronouns/names and persistent identifiers (email, usernames); no legal documentation required except where required by law, legal docs don't override GSW request; records accurately reflect pronouns/honorifics, prompt correction; designate point of contact for updates; respect GSW decision to discuss or keep private orientation/identity/expression",,,
Prohibition Against Discrimination and Harassment,Gender Identity,10/11/2024,University,"Changed: Upon request, University updates employment record for name or gender change; records accurately reflect pronouns/honorifics, prompt correction if error; University respects GSW decision to discuss or keep private sexual orientation, gender identity, gender expression (was: Union's comprehensive transgender/nonbinary protections with student records, persistent identifiers, no legal docs required)",,,
Prohibition Against Discrimination and Harassment,Gender Identity,4/11/2025,Union,"Changed: Renamed 'Transgender GSW Protections'; expanded to include nonbinary and gender non-conforming; upon request update employment AND student record for name/gender including pronouns/names and persistent identifiers (email, system usernames); no legal documentation required except where required by law, legal docs don't override GSW request; designate point of contact to process updates (was: just employment record, general provisions)",,,
Prohibition Against Discrimination and Harassment,Disability and Health Protections,8/26/2024,Union,"Initial proposal: All GSWs, especially disabled/immunocompromised/chronic health conditions, have right to workplace free from harassment/discrimination; intentional or negligent behavior to harm health/access is harassment/discrimination including (1) acting to cause illness/injury, (2) disregarding accessibility/health needs, (3) removing/tampering with protective equipment or accommodations, (4) disparaging/mocking about health/disability status",,,
Prohibition Against Discrimination and Harassment,Disability and Health Protections,4/11/2025,Union,No change: Maintained health and disability protections with 4 specific prohibited behaviors,,,
Prohibition Against Discrimination and Harassment,Immigration Status,8/26/2024,Union,Initial proposal: University fully committed to safe/welcoming environment regardless of immigration status; will notify Union if learns of immigration investigation regarding employee; shall not infringe privacy rights without express consent in immigration investigation or proceeding,,,
Prohibition Against Discrimination and Harassment,Immigration Status,4/11/2025,Union,No change: Maintained immigration status protections,,,
Prohibition Against Discrimination and Harassment,Academic School of Thought,8/26/2024,Union,Initial proposal: No GSW denied appointment based on academic school of thought,,,
Prohibition Against Discrimination and Harassment,Academic School of Thought,4/11/2025,Union,No change: Maintained academic school of thought protection,,,
Prohibition Against Discrimination and Harassment,Supervisor Misconduct,8/26/2024,Union,"Initial proposal: Discrimination, sexual harassment/misconduct, abusive/intimidating behavior, power-based harassment by supervisors prohibited when interferes with or limits ability to participate in or benefit from employment",,,
Prohibition Against Discrimination and Harassment,Supervisor Misconduct,4/11/2025,Union,No change: Maintained supervisor misconduct prohibition,,,
Prohibition Against Discrimination and Harassment,Retaliation,8/26/2024,Union,"Initial proposal: Retaliation against GSW who in good faith reports or participates in investigation of violations of this article, Sexual/Gender Harassment Policy and Title IX, and/or Agreement strictly forbidden; retaliation means adverse action for good faith report or participating; includes threatening, intimidating, harassing, coercing, or discouraging reasonable person from engaging in protected activity",,,
Prohibition Against Discrimination and Harassment,Retaliation,10/11/2024,University,"Changed: University prohibits retaliation for filing complaint in good faith, cooperating in investigation, or opposing discriminatory practice per federal/state/local law or University policy; adverse actions in academic decisions can constitute retaliation for exercising Agreement rights (was: Union's comprehensive definition with Title IX reference)",,,
Prohibition Against Discrimination and Harassment,Retaliation,4/11/2025,Union,"Changed: Retaliation against GSW who in good faith reports or participates in investigation of violations of this article, Sexual/Gender Harassment Policy and Title IX, and/or Agreement is strictly forbidden; retaliation means adverse action for good faith report or participating; includes threatening, intimidating, harassing, coercing, or discouraging reasonable person from engaging in protected activity (was: University's policy-based definition)",,,
Prohibition Against Discrimination and Harassment,Interim Remedies,8/26/2024,Union,"Initial proposal: When grievance filed or during OUEC investigation with interim remedial/supportive measures, University has available remedies including different workstation/schedule/location/building/supervisor/unit/department/position (equitable for Complainant), training/education of Respondent, no contact remedies; GSW receives decision within 2 business days; if approved but not immediate, reasonable timeline within 5 business days; if cannot meet request, explanation and alternative at no cost to GSW",,,
Prohibition Against Discrimination and Harassment,Interim Remedies,4/11/2025,Union,No change: Maintained interim remedies with 2-day decision and 5-day timeline requirements,,,
Prohibition Against Discrimination and Harassment,Grievance Timeline,8/26/2024,Union,"Initial proposal: In cases of potential harassment or discrimination, GSW has no limit on number of days to file grievance",,,
Prohibition Against Discrimination and Harassment,Grievance Timeline,4/11/2025,Union,Changed: GSW has 365 days to file grievance (or no limit - text shows both) (was: no limit),,,
Prohibition Against Discrimination and Harassment,Code of Conduct Update,8/26/2024,Union,Initial proposal: NU Code of Student Conduct updated at start of agreement to include commitments and provisions of Sections 1-10 for all NU undergraduate and graduate students and employees,,,
Prohibition Against Discrimination and Harassment,Code of Conduct Update,4/11/2025,Union,No change: Maintained Code of Conduct update requirement for all students and employees,,,
Prohibition Against Discrimination and Harassment,Union Activities Non-Discrimination,10/11/2024,University,Initial proposal: University and Union shall not discriminate or retaliate against GSW for engaging in or refraining from union activities per federal law,,,
Prohibition Against Discrimination and Harassment,Procedure,10/11/2024,University,"Initial proposal: Grad students pursue allegations with OUEC per Sexual/Gender Harassment and Title IX policy or applicable policies; complaints on Sections 1, 2, 4 excluded from Grievance and Arbitration; reasonable accommodation requests per University policy, excluded from Grievance; grievance on Sections 3, 5, 6 may not include additional discrimination/harassment/retaliation allegations",,,
Recognition,Union Recognition,5/30/2024,Union,Initial proposal: University recognizes UAW and Local Union GENU-UAW as exclusive bargaining representative for employees in bargaining unit,,,
Recognition,Union Recognition,6/18/2024,University,"Changed: Recognition per NLRB Case 01-RC-311566 - all grad students at NU providing instructional or research services at Boston, Nahant, Burlington included (was: Union's language without NLRB reference)",,,
Recognition,Union Recognition,3/11/2025,Union,Changed: Restored Union language - University recognizes UAW and GENU-UAW as exclusive bargaining representative (was: University's NLRB case reference),,,
Recognition,Bargaining Unit Composition,5/30/2024,Union,"Initial proposal: All grad students enrolled at NU providing instructional or research services at Boston, Nahant, Burlington; performing work for degree requirement not excluded; excluded - undergrads, Managers, Guards, Supervisors per Act",,,
Recognition,Bargaining Unit Composition,6/18/2024,University,"Changed: Per NLRB case, all grad students providing instructional or research services included; excluded - undergrads, fellows, managers, guards, supervisors, all other employees (was: Union's language with degree work inclusion, fellows not excluded)",,,
Recognition,Bargaining Unit Composition,3/11/2025,Union,"Changed: Restored Union language - all grad students providing instructional/research services; performing degree work not excluded; excluded - undergrads, fellows, managers, guards, supervisors (was: University's broader exclusions)",,,
Recognition,Fellows,5/30/2024,Union,"Initial proposal: Since grad workers can have fellowships while work unchanged, creates unequal/precarious circumstances; all fellows with instructional or research requirements directed by employer included in unit",,,
Recognition,Fellows,6/18/2024,University,Changed: Fellows explicitly excluded from bargaining unit (was: Union's fellows with work requirements included),,,
Recognition,Fellows,3/11/2025,Union,"Changed: Parties agree fellows are grad students who receive funding without work requirement; grad students with funding and work requirement should not be given fellow title; since workers can have fellowships while work unchanged creating precarious circumstances, all fellows with instructional or research requirements directed by employer included (was: University excluded all fellows)",,,
Recognition,Stipended Graduate Students Definition,6/18/2024,University,New: Term 'stipended graduate students' means PhD students funded by SGA,,,
Recognition,Coverage During Non-Employment,6/18/2024,University,"New: In academic terms where grad student does not hold covered position, not covered by CBA for that term",,,
Sub-Contracting,Work Contracting Prohibition,3/15/2024,Union,Initial proposal: No work ordinarily performed by or which could be performed by employee covered by Agreement shall be contracted out to person not covered by Agreement,,,
Sub-Contracting,Automation Prohibition,3/15/2024,Union,"Initial proposal: No work ordinarily performed by or which could be performed by employee covered by Agreement shall be automated in any way including AI as defined in Article, or duplication/future use of work product previously created by employee (text, audio, video) in course of work",,,
Successorship,Binding on Successors,2/16/2024,Union,"Initial proposal: Agreement binding upon successors and assignees of parties; no provision, terms, or obligations affected, modified, altered, or changed in any respect by any change in regular status, ownership, or management of either party",,,
Successorship,Binding on Successors,5/30/2024,University,No change: Maintained identical successorship language,,,
Successorship,Binding on Successors,1/28/2025,Union,No change: Maintained identical successorship language,,,
Titles and Classifications,Detailed Classification System,6/18/2024,Union,"Initial proposal: As of CBA effective date, all GSWs placed into title and pay classifications based on duties - 5 salaried positions (TA, IoR, RA, RA2 with both TA/RA duties, Fellow similar to RA) and 7 hourly positions (Grader, HCA, HTA, HRA, Tutors, Writers, Project Assistants) with detailed duty descriptions for each",,,
Titles and Classifications,Detailed Classification System,8/2/2024,University,"Changed: Simplified to 3 general classifications only - Teaching Assistant, Research Assistant, Hourly graduate student (was: Union's 12 detailed classifications)",,,
Titles and Classifications,Detailed Classification System,3/25/2025,Union,"Changed: Restored Union's detailed system - 5 salaried and 8 hourly positions (added 'Hourly Graduate Worker - or similar duties'); includes University's 02-18-25 counter at bottom showing 4 general classifications (Stipended TA Course Lead/IoR, Stipended TA, Stipended RA, Hourly) (was: University's 3 general classifications)",,,
Titles and Classifications,Head TA/RA Positions,6/18/2024,Union,Initial proposal: Supervisors may designate TA or RA with additional administrative duties as Head TA or Head RA; designation comes with additional compensation per Compensation Article,,,
Titles and Classifications,Head TA/RA Positions,8/2/2024,University,Changed: Removed Head TA/RA provision entirely (was: Union's Head designation with additional compensation),,,
Titles and Classifications,Head TA/RA Positions,3/25/2025,Union,Changed: Restored Head TA/RA designation with additional compensation (was: University removed entirely),,,
Titles and Classifications,Classification Modification Process,6/18/2024,Union,"Initial proposal: No modifications or deletions to Section 1 classifications unless agreed by both parties; Administration reports new classifications to GENU within 30 days, parties determine if included under Agreement",,,
Titles and Classifications,Classification Modification Process,8/2/2024,University,Changed: Removed classification modification process entirely (was: Union's mutual agreement requirement and notification),,,
Titles and Classifications,Classification Modification Process,3/25/2025,Union,"Changed: Restored modification process - no changes unless both parties agree; Administration reports new classifications within 30 days, parties determine inclusion (was: University removed entirely)",,,
Titles and Classifications,Salary to Hourly Conversion Protection,6/18/2024,Union,Initial proposal: Not intent to convert previously salaried to hourly positions; such modifications not made unless agreed by both parties,,,
Titles and Classifications,Salary to Hourly Conversion Protection,8/2/2024,University,Changed: Removed salary-to-hourly conversion protection entirely (was: Union's protection against conversion),,,
Titles and Classifications,Salary to Hourly Conversion Protection,3/25/2025,Union,Changed: Restored protection against converting salaried to hourly unless both parties agree (was: University removed entirely),,,
Union Access and Rights,Data Sharing - Scope and Format,5/30/2024,Union,Initial proposal: University provides Union on weekly basis two electronic files in Excel or CSV format containing directory information for every GSW on campus regardless of being in or out of the unit,,,
Union Access and Rights,Data Sharing - Required Information List A,5/30/2024,Union,"Initial proposal: List of required compensation and employment information includes 46 data points - Name, NUID, permanent and local addresses, home/cell phone, personal/NU email, NU phone/mailbox, date of birth, country of birth/origin, job title, employment/enrollment dates with breaks, graduation date, enrollment/employment status, position classification, department employed/enrolled, work location building/address, workstation/office, pay grade/rate/hourly rate, shift, supervisor/supervisor email, race, gender, deduction amounts for dues/VCAP, wages and overtime details per pay period and YTD, medical plan enrollment, total FTE, anniversary date, appointment letter, appointment budget numbers/FTE percentage/status/term, added this pay period flag",,,
Union Access and Rights,Data Sharing - Vacant Positions List B,5/30/2024,Union,"Initial proposal: List of all filled, unfilled or vacant unit appointments not appearing in future information exchanges includes end date of last time filled, NUID of GSW who most recently filled position, reason for elimination",,,
Union Access and Rights,University Resources - Workspace Access,5/30/2024,Union,Initial proposal: Union provided access to employees' work spaces for official union business including building swipe access during working hours,,,
Union Access and Rights,University Resources - Office Space,5/30/2024,Union,Initial proposal: Union provided furnished office with free printing in mutually decided campus location; accessible to Union representatives 24/7; building swipe access if not open to public; mailbox in mutually determined location; all at no cost,,,
Union Access and Rights,University Resources - Bulletin Boards,5/30/2024,Union,"Initial proposal: Union has access to all existing bulletin boards (including virtual) in each University School, Department, Program, Institute, and Center employing GSWs plus all other bulletin boards for official union business",,,
Union Access and Rights,University Resources - Mail and Email Systems,5/30/2024,Union,"Initial proposal: Union has access to University mail and email system, including usage of all university email lists for communication",,,
Union Access and Rights,University Resources - Meeting Rooms,5/30/2024,Union,Initial proposal: University furnishes conference and/or meeting rooms (physical and virtual) at no cost for Union meetings upon prior request,,,
Union Access and Rights,University Resources - Union Staffer Access,5/30/2024,Union,"Initial proposal: Union staffers have access to all Union workspaces to connect with student workers for grievances, check-ins, or any union activity purpose; staffers without NU affiliation provided Northeastern Wi-Fi access same as any NU affiliate",,,
Union Access and Rights,University Resources - Parking,5/30/2024,Union,Initial proposal: Staff members have access to parking on campus as GSWs have access at no cost to Union,,,
Union Access and Rights,Orientation and Onboarding - Training Notification,5/30/2024,Union,Initial proposal: University notifies all GSWs of training required as part of their appointment notification,,,
Union Access and Rights,Orientation and Onboarding - CBA Statement on Forms,5/30/2024,Union,Initial proposal: All GSW appointment forms at orientation events include statement 'This position is subject to a collective bargaining agreement between Northeastern University and the Graduate Employees of Northeastern University UAW',,,
Union Access and Rights,Orientation and Onboarding - Non-Discrimination Statement,5/30/2024,Union,"Initial proposal: All GSW appointment forms at orientation include detailed non-discrimination statement covering race, creed, color, religion, national origin, ancestry, genetic information, marital/familial/parental/pregnancy status, sex, gender identity/expression, sexual orientation, age, height, weight, disability, citizenship, veteran status, HIV antibody status, political belief, social/political organization membership, grievance participation, pregnancy-related medical conditions, arrest record, and other factors not interfering with job performance; includes ADA and Rehabilitation Act compliance",,,
Union Access and Rights,Orientation and Onboarding - Union Materials at Hire,5/30/2024,Union,"Initial proposal: University provides each new GSW at same time as W4/I9 forms introductory materials from Union including Union Membership Election Form and VCAP form; in exceptional situations where forms completed before bargaining unit hire, materials provided at time of hire into bargaining unit",,,
Union Access and Rights,Orientation and Onboarding - Training Plans,5/30/2024,Union,Initial proposal: All departments/colleges that develop or have developed written training plans provide copy to Provost's Office; Provost's Office forwards plans to Union,,,
Union Access and Rights,Orientation and Onboarding - Campus Orientation Speaking Time,5/30/2024,Union,"Initial proposal: Union representatives given at least 45 minutes to speak (and if in person, space for materials) as part of campus and individual school's orientation programs conducted by Graduate Schools; also 45 minutes at departmental academic orientation sessions or similar GSW training sessions held in person or virtual",,,
Union Access and Rights,Orientation and Onboarding - Tabling at Campus Events,5/30/2024,Union,"Initial proposal: Union representatives given at least two tables for campus events including but not limited to Fall Fest, Winter Involvement Fair, and other events student groups traditionally allowed to table for",,,
Union Access and Rights,Orientation and Onboarding - Advance Notice of Orientations,5/30/2024,Union,"Initial proposal: Administration notifies Union two weeks in advance of date, time, and location of all campus-wide orientations for GSWs",,,
Union Access and Rights,Orientation and Onboarding - Mandatory Orientation Program,5/30/2024,Union,"Initial proposal: University conducts at least one mandatory graduate student employee orientation each semester during first two weeks of fall/spring semesters and at University's discretion other times; Union representatives given two hours time to speak, distribute dues/payroll deduction forms, collect appointment processing information, distribute educational material on CBA including intellectual property, health and safety, workplace rights",,,
Union Access and Rights,Orientation and Onboarding - Union Materials Circulation,5/30/2024,Union,Initial proposal: University circulates union materials to all new hires created by Union within 7 days of hire,,,
Union Access and Rights,Orientation and Onboarding - Job Filling Timing,5/30/2024,Union,Initial proposal: University fills recurring semester jobs prior to University and Union scheduled orientations,,,
Union Access and Rights,Orientation and Onboarding - Time Off and Workload,5/30/2024,Union,Initial proposal: Time off granted to all GSWs who are Union representatives chosen by union to facilitate orientation program; time spent in orientations referenced in agreement counts toward GSW's workload,,,
Union Access and Rights,Cost and Financial Terms,5/30/2024,Union,Initial proposal: Union assumes no cost arising out of provisions of this Article,,,
Union Access and Rights,Representation Rights,5/30/2024,Union,"Initial proposal: GSWs reserve right to Union representation in form of Union representative in any proceeding implicating work status, including any case where student status may be at risk",,,
Union Access and Rights,Union Activity Rights,5/30/2024,Union,"Initial proposal: Employees reserve right to engage in Union activity on the job as well as protection of political expression through clothing, accessories, zoom backgrounds, etc.",,,
Union Access and Rights,Meeting Space,7/16/2024,University,"Changed: University shall make available at no cost meeting space for Union to conduct business from time-to-time pertaining to bargaining unit work on same terms as space made available for other campus organizations; subject to availability; use may not cause disruption to University operations or classes; University reserves right to limit use or revoke if inconsistent (was: Union proposals for 24/7 furnished office, free printing, mailbox, conference rooms, workspace access, email systems, all bulletin boards, staffer access, parking)",,,
Union Access and Rights,Union Representative Campus Access,7/16/2024,University,"Changed: Union representatives who are not students must provide reasonable advanced notice to University Labor Operations before coming to campus for meetings; must comply with University policies for visitors including restricted use areas (was: Union proposals for building swipe access, staffer access to all workspaces, Wi-Fi access)",,,
Union Access and Rights,Bargaining Unit Representative List,7/16/2024,University,"Changed: Within 30 days of start of each semester, Union shall provide list of names and colleges of bargaining unit representatives authorized to act for Union for grievance investigation/resolution, meetings with grievants, meetings with University officials, and other matters pertaining to bargaining unit work (was: Union proposals for various orientation and access provisions)",,,
Union Access and Rights,Communication Methods,7/16/2024,University,"Changed: Bargaining unit member college mailboxes to extent available may be utilized by Union for communicating about bargaining unit work; Union has access to one bulletin board per college for posting matters about bargaining unit work, subject to same policies/procedures for campus postings (was: Union proposal for access to all existing bulletin boards including virtual, mail and email systems, university email lists)",,,
Union Access and Rights,Data Sharing,7/16/2024,University,"Changed: Removed all data sharing provisions including 46-point data list, weekly electronic files, vacant position lists (was: comprehensive weekly data sharing for all GSWs in and out of unit)",,,
Union Access and Rights,Orientation Provisions,7/16/2024,University,"Changed: Removed all orientation-related provisions including speaking time, tabling, advance notice, mandatory orientations, union materials distribution, job filling timing, workload counting (was: detailed orientation requirements with 45-minute to 2-hour speaking times, 7-day materials circulation, mandatory orientations)",,,
Union Access and Rights,Representation and Activity Rights,7/16/2024,University,Changed: Removed provisions for union representation in proceedings affecting work/student status and right to engage in union activity/political expression on job (was: explicit rights to representation and on-job union activity),,,
Union Access and Rights,Data Sharing - Timing and Scope,10/11/2024,Union,"Changed: University provides information within 14 days of beginning of each semester, within 7 days for summer semester; updated weekly for additional 30 days each semester; remainder of semester only weekly updates for GSWs who moved in/out of unit or whose employment details changed; narrowed scope to GSWs in bargaining unit only (was: weekly for all GSWs on campus regardless of unit status)",,,
Union Access and Rights,Data Sharing - Consent Notice,10/11/2024,Union,Changed: University shall notify candidates for bargaining unit positions that by accepting position they consent to disclosure of information to GENU (was: no consent notice provision),,,
Union Access and Rights,Data Sharing - Information List,10/11/2024,Union,"No change: Maintained 46 data points including name, NUID, addresses, contact info, employment/enrollment details, compensation, demographics, benefits information, appointment details",,,
Union Access and Rights,Workspace Access,10/11/2024,Union,No change: Maintained Union access to employees' work spaces for official union business including building swipe access during working hours,,,
Union Access and Rights,Office Space,10/11/2024,Union,"No change: Maintained furnished office with free printing, 24/7 access, building swipe access, mailbox, all at no cost",,,
Union Access and Rights,Bulletin Boards,10/11/2024,Union,"Changed: Union has sole access to at least one bulletin board of Union's choosing in each School/Department/Program/Institute/Center employing GSWs, plus access to all other bulletin boards for official business (was: access to all existing bulletin boards)",,,
Union Access and Rights,Mail and Email Systems,10/11/2024,Union,Changed: Removed 'including usage of all university email lists for communication' (was: access to mail/email system including all university email lists),,,
Union Access and Rights,Meeting Rooms,10/11/2024,Union,No change: Maintained University furnishes conference/meeting rooms (physical and virtual) at no cost upon prior request,,,
Union Access and Rights,Union Staffer Workspace Access,10/11/2024,Union,Changed: Added that parties agree to develop process to allow access to workspaces that might otherwise be restricted (was: staffer access without mention of process development),,,
Union Access and Rights,Parking and Wi-Fi,10/11/2024,Union,No change: Maintained staff parking access at no cost; staffers without NU affiliation provided Wi-Fi access,,,
Union Access and Rights,Training Notification,10/11/2024,Union,No change: Maintained University notifies all GSWs of training required as part of appointment notification,,,
Union Access and Rights,CBA Statement on Forms,10/11/2024,Union,No change: Maintained all GSW appointment forms at orientation include statement about collective bargaining agreement,,,
Union Access and Rights,Non-Discrimination Statement,10/11/2024,Union,Changed: Non-discrimination statement as described in Article XX Prohibition Against Discrimination and Harassment will be appended to hiring forms given to GSWs (was: full detailed non-discrimination text in this article),,,
Union Access and Rights,Union Materials at Hire,10/11/2024,Union,No change: Maintained University provides Union materials including Membership Election Form and VCAP form at time of providing W4/I9 or at time of hire into bargaining unit,,,
Union Access and Rights,Training Plans,10/11/2024,Union,No change: Maintained departments/colleges provide written training plans to Provost's Office which forwards to Union,,,
Union Access and Rights,Campus and School Orientation Speaking Time,10/11/2024,Union,No change: Maintained Union representatives given at least 45 minutes to speak at campus and individual school orientation programs and at departmental academic orientation sessions,,,
Union Access and Rights,Tabling at Campus Events,10/11/2024,Union,No change: Maintained Union representatives given at least two tables for campus events,,,
Union Access and Rights,Orientation Advance Notice,10/11/2024,Union,Changed: Administration notifies Union as soon as practicably possible but no later than one week before (was: two weeks in advance),,,
Union Access and Rights,Mandatory Orientation Program - Speaking Time,10/11/2024,Union,Changed: Union representatives given at least 45 minutes time to speak at mandatory orientation sessions (was: two hours); added that Union reps also given at least 20 minutes at college or departmental sessions,,,
Union Access and Rights,Mandatory Orientation Program - Structure,10/11/2024,Union,"No change: Maintained University conducts at least one mandatory graduate student employee orientation each semester during first two weeks of fall/spring; Union distributes forms, collects information, distributes CBA educational materials",,,
Union Access and Rights,Union Materials Circulation and Job Filling,10/11/2024,Union,No change: Maintained University circulates union materials within 7 days of hire; University fills recurring semester jobs prior to scheduled orientations,,,
Union Access and Rights,Orientation Time Off and Workload,10/11/2024,Union,No change: Maintained time off granted to GSWs who are Union representatives facilitating orientations; time counts toward workload,,,
Union Access and Rights,Cost,10/11/2024,Union,No change: Maintained Union assumes no cost arising from this Article,,,
Union Access and Rights,Representation Rights,10/11/2024,Union,No change: Maintained GSWs reserve right to Union representation in any proceeding implicating work status including cases where student status may be at risk,,,
Union Access and Rights,Union Activity Rights,10/11/2024,Union,"No change: Maintained employees reserve right to engage in Union activity on job and protection of political expression through clothing, accessories, zoom backgrounds, etc.",,,
Union Access and Rights,Article Title,12/9/2024,University,Changed: Article renamed 'Union Rights and Bargaining Unit Information' (was: Union Access and Rights or Union Rights),,,
Union Access and Rights,Meeting Space,12/9/2024,University,No change: Maintained University makes available at no cost meeting space for Union business from time-to-time on same terms as other campus organizations; subject to availability; may not cause disruption; University reserves right to limit or revoke use,,,
Union Access and Rights,Union Representative Campus Access,12/9/2024,University,No change: Maintained Union representatives who are not students must provide reasonable advanced notice to University Labor Operations; must comply with visitor policies including restricted areas,,,
Union Access and Rights,Bargaining Unit Representative List,12/9/2024,University,"No change: Maintained within 30 days of start of each semester Union provides list of names and colleges of representatives authorized for grievances, meetings, and other bargaining unit work matters",,,
Union Access and Rights,Communication Methods,12/9/2024,University,No change: Maintained bargaining unit member college mailboxes may be utilized by Union; Union has access to one bulletin board per college; subject to campus posting policies,,,
Union Access and Rights,New PhD Orientation Materials,12/9/2024,University,Changed: Added Section 5 - University provides newly admitted stipended graduate students packet of Union-supplied materials included in new PhD orientation packet; University notifies Union no later than 30 days prior to annual new PhD orientation to enable Union to provide materials in advance (was: no provision for PhD orientation materials),,,
Union Access and Rights,Basic Bargaining Unit Information,12/9/2024,University,"Changed: Added Section 6 - Within 45 days after start of each semester, to extent permitted by FERPA, University provides Union at no cost list of graduate students covered by Agreement with name, home address (city/state/country only), major field of study, college (was: no data sharing or Union proposal for 46 data points weekly for all GSWs)",,,
Union Access and Rights,FERPA Waiver Additional Information,12/9/2024,University,"Changed: Added Section 7 - Within 45-day period, for bargaining unit members who completed and submitted FERPA waiver by start of semester, University provides Union at no cost additional information: NU ID number, home street address/city/state, phone number, email on file, appointment title, home department as applicable, stipend or hourly rate, status as stipend or hourly, college enrolled, supervisor (was: no FERPA-based data sharing system)",,,
Union Access and Rights,FERPA Release Form Process,12/9/2024,University,"Changed: Added Section 8 - University maintains link hosting FERPA Release Form that can be printed, completed and submitted by bargaining unit members to approve release of Section 7 information to Union; contents determined by University, subject to change consistent with FERPA; within 10 days of effective date if not during winter break, University forwards link to all bargaining unit members (was: no FERPA form process)",,,
Union Access and Rights,Meeting Space,2/18/2025,Union,Changed: Added that Union may request lockable office on campus for Union use; office shall be provided in accordance with Union preferences if available (was: meeting space from time-to-time only),,,
Union Access and Rights,Union Representative Campus Access,2/18/2025,Union,"Changed: Requests for access by staff representatives who are not also graduate students will be made in advance and will not be unreasonably denied (was: must provide reasonable advanced notice, no 'not unreasonably denied' standard)",,,
Union Access and Rights,Bargaining Unit Representative List,2/18/2025,Union,"Changed: Within 30 days of start of each semester and whenever there is an update, Union provides list (was: within 30 days only)",,,
Union Access and Rights,Communication Methods,2/18/2025,Union,No change: Maintained bargaining unit member college mailboxes may be utilized; Union has access to one bulletin board per college subject to posting policies,,,
Union Access and Rights,New PhD Orientation Materials,2/18/2025,Union,No change: Maintained University provides Union-supplied materials packet to newly admitted stipended students in PhD orientation; 30-day advance notice,,,
Union Access and Rights,Campus Orientation Notification and Speaking Time,2/18/2025,Union,Changed: Added Section 6 - University notifies Union of date/time/location of all campus-wide GSW orientations as soon as practicable but no later than one week before; Union reps given at least 30 minutes to speak at campus-wide orientations; at least 20 minutes at college or departmental sessions (was: only in PhD orientation materials provision),,,
